model,model_detay,model_yili,fiyat,sehir,ilce,ilan_turu,tip,marka,motor_hacmi,motor_tipi,donanim
Renault Fluence 1.5 dCi Joy,2013 DCİ JOY RENAULT FLUENCE MAKYAJLI BAKIMLI,2013,510000,İstanbul,Küçükçekmece,galeriden,satilik,renault,1.5,dci,joy
Fiat Palio 1.4 Fire Active Sole,AUTO SFG BAYRAM FIRSATI TAKSİT SEÇENEKLİ ORJ 190.000 KM'DE PALİO,2009,319000,İstanbul,Bağcılar,galeriden,satilik,fiat,1.4,fire,active
Fiat Palio 1.4 Fire Active Sole,AUTO SFG BAYRAM FIRSATI TAKSİT SEÇENEKLİ ORJ 190.000 KM'DE PALİO,2009,319000,İstanbul,Bağcılar,galeriden,satilik,fiat,1.4,fire,active
Toyota Hilux 2.4 D-4D 4x4 Hi-Cruiser,"MS AUTO'DAN TOYOTA HİLUX 4*4 OTOMATİK VİTES ""30.000""KM FULL",2022,1715000,Osmaniye,Kadirli,galeriden,satilik,toyota,2.4,d,4d
Kia Ceed 1.6 CRDi Concept Plus,2013 MODEL CAM TAVANLI OTOMATİK VİTES KİA CEED TKS OLUR,2013,799000,İstanbul,Pendik,galeriden,satilik,kia,1.6,crdi,concept
Fiat Fiorino Combi 1.3 Multijet Pop,MİL MOTORS'TAN FİORİNO,2023,699000,Bursa,Nilüfer,galeriden,satilik,fiat,combi.1,3,multijet
Fiat Egea 1.4 Fire Easy Plus,2021 FİAT EGEA EASY PLUS HATASIZ KAYITSIZ,2021,723200,Balıkesir,Karesi,galeriden,satilik,fiat,1.4,fire,easy
Citroen C-Elysee 1.6 HDi Shine,2017 DEĞİŞENSİZ TRAMERSİZ C-ELYSEE / KK-EMİNEVİM-FUZULEV,2017,755000,İstanbul,Bakırköy,galeriden,satilik,citroen,elysee.1,6,hdi
Renault Clio 1.5 dCi Expression,2003 MODEL RENO SUMBOL-214.000KM-KLİMALI-HİDROLİK DİREKSİYON,2003,345000,Bursa,Osmangazi,galeriden,satilik,renault,1.5,dci,expression
Citroen C5 Aircross 1.5 BlueHDI Feel Bold,DEMİRCAN'DAN Boyasız C5 Aircross 1.5 BlueHDI EAT8,2023,1639000,Antalya,Muratpaşa,galeriden,satilik,citroen,aircross.1,5,bluehdi
